scene,variant,threshold,smooth_sigma,close_iters,open_iters,min_component_voxels,shape,alpha_max,alpha_mean,source_alpha_mean,source_alpha_p95,occupied_voxels,occupied_ratio,raw_reference_recall,raw_reference_precision,raw_reference_iou,shell_voxels,shell_ratio_total,shell_ratio_occupied,interior_ratio_occupied,sdf_inside_abs_p50,sdf_inside_abs_p90,sdf_outside_near_abs_p50,sdf_outside_near_abs_p90,shell_grad_mag_mean,shell_grad_mag_p95,component_count,largest_component_fraction,top5_component_fraction,small_component_fraction,removed_component_voxels
3dfront_1004_00,smooth100_thr002,0.02,1.0,0,0,0,137x160x104,1.0,0.047891728579998016,0.047891728579998016,0.25796716511249523,721431,0.3164615209152162,0.9819122702809727,0.75616517726574,0.7457770547383387,304459,0.13355339345873105,0.42202095557302083,0.5779790444269792,2.4494898319244385,5.385164737701416,7.071067810058594,16.0,0.05013911798596382,0.12107872068881981,69,0.9955394209564047,0.9982701048333105,0.0,0
3dfront_1004_00,smooth100_thr001_min64,0.01,1.0,0,0,64,137x160x104,1.0,0.047891728579998016,0.047891728579998016,0.25796716511249523,814133,0.3571260001403706,0.9952697229872023,0.6791789547899422,0.6769936370615149,300169,0.13167155039303763,0.36869774348908596,0.6313022565109141,3.0,6.082762718200684,7.211102485656738,16.0,0.04174133762717247,0.11201056838035577,64,0.9964661751962077,0.9988744295432173,0.0006935085148116235,565
3dfront_1004_00,smooth100_thr001_min256,0.01,1.0,0,0,256,137x160x104,1.0,0.047891728579998016,0.047891728579998016,0.25796716511249523,813364,0.356788672094329,0.9947387367928434,0.6794583974702593,0.6770253599530557,299440,0.1313517686692869,0.36815005335864387,0.6318499466413561,3.0,6.082762718200684,7.4833149909973145,16.0,0.04180998355150223,0.11211063042283057,64,0.9964661751962077,0.9988744295432173,0.0016374165641747003,1334
3dfront_1004_00,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,137x160x104,1.0,0.047891728579998016,0.047891728579998016,0.25796716511249523,765388,0.3357436131386861,0.8778281764674118,0.6371866295264624,0.5852833979187844,252219,0.11063789654688377,0.3295309045869546,0.6704690954130454,2.2360680103302,5.385164737701416,7.0,16.0,0.040339577943086624,0.11038732826709746,34,0.9974061017994026,0.9996669466056635,0.000333053394336525,255
3dfront_0022_00,raw_thr001,0.01,0.0,0,0,0,129x160x101,1.0,0.09036186337471008,0.09036186337471008,0.5105903238058036,799983,0.3837511512779185,1.0,1.0,1.0,415647,0.19938550541100622,0.5195697908580558,0.48043020914194423,2.0,4.242640495300293,5.099019527435303,16.0,0.13883930444717407,0.48431293666362724,561,0.9929598503968209,0.9985424690274668,0.0,0
3dfront_0022_00,smooth075_thr001,0.01,0.75,0,0,0,129x160x101,1.0,0.09036186337471008,0.0903618186712265,0.4660297676920888,963866,0.4623656842428429,0.9981424605272862,0.8284315454637885,0.8271563118945213,275188,0.13200744493053956,0.2855044165890279,0.7144955834109721,4.0,8.602325439453125,6.164413928985596,16.0,0.05917692556977272,0.18725888058543202,122,0.9921047116507896,0.9994895556021273,0.0,0
3dfront_0022_00,smooth100_thr001,0.01,1.0,0,0,0,129x160x101,1.0,0.09036186337471008,0.0903618112206459,0.44849580079317075,1003896,0.48156804052498275,0.9972424414018798,0.7946809231235108,0.7929384893380592,252844,0.1212890475094021,0.25186274275422954,0.7481372572457705,4.358899116516113,9.433980941772461,6.633249759674072,16.0,0.04305656999349594,0.12798658162355422,39,0.9921256783571206,0.9997230788846654,0.0,0
3dfront_0022_00,smooth100_thr002,0.02,1.0,0,0,0,129x160x101,1.0,0.09036186337471008,0.0903618112206459,0.44849580079317075,935147,0.4485892048507176,0.9885422565229511,0.8456606287567623,0.8374522007004034,257321,0.12343666052651776,0.27516636421867363,0.7248336357813263,4.123105525970459,8.66025447845459,6.7082037925720215,16.0,0.05183206498622894,0.14761672914028168,32,0.9939998738166299,0.9997465639092036,0.0,0
3dfront_0022_00,smooth100_thr001_min64,0.01,1.0,0,0,64,129x160x101,1.0,0.09036186337471008,0.0903618112206459,0.44849580079317075,1003618,0.48143468416609103,0.9970674376830507,0.794761552702323,0.7929080961147715,252567,0.1211561708496431,0.25165650675854756,0.7483434932414524,4.358899116516113,9.433980941772461,6.78233003616333,16.0,0.04309206083416939,0.12805578857660282,39,0.9921256783571206,0.9997230788846654,0.0002769211153346562,278
3dfront_0022_00,smooth100_thr001_min256,0.01,1.0,0,0,256,129x160x101,1.0,0.09036186337471008,0.0903618112206459,0.44849580079317075,1003320,0.48129173382454526,0.996876183618902,0.794845114220787,0.792870287795319,252278,0.12101753780029166,0.2514432085476219,0.7485567914523781,4.358899116516113,9.433980941772461,7.0,16.0,0.0431295707821846,0.12809300646185873,39,0.9921256783571206,0.9997230788846654,0.0005737646130674891,576
3dfront_0022_00,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,129x160x101,1.0,0.09036186337471008,0.0903618112206459,0.44849580079317075,934172,0.44812149819633124,0.8998578719797796,0.7705979198691462,0.709733171380008,221717,0.10635745260572568,0.23734066103458465,0.7626593389654154,3.0,6.0,6.082762718200684,16.0,0.042131274938583374,0.12820645272731776,19,0.9994926932849287,0.9998576544449272,0.00018622651565908133,174
3dfront_0003_00,raw_thr001,0.01,0.0,0,0,0,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.40118994116783135,503373,0.30204313076036865,1.0,1.0,1.0,326853,0.19612435195852534,0.6493256491706945,0.35067435082930554,1.4142135381698608,3.1622776985168457,5.0,16.0,0.14207889139652252,0.48401889204978915,260,0.9974035158818609,0.9977849427760329,0.0,0
3dfront_0003_00,smooth075_thr001,0.01,0.75,0,0,0,112x160x93,1.0,0.06531714648008347,0.06531716883182526,0.3786031350493426,643791,0.38629932315668203,0.9974273550627467,0.7798773204347373,0.7783117289787719,244852,0.1469206029185868,0.38032839850199834,0.6196716014980017,2.8284270763397217,6.0,5.916079998016357,16.0,0.05903147906064987,0.19536609947681416,112,0.9982338988895465,0.9986874622354149,0.0,0
