scene,threshold,shape,slice_axis,slice_index,alpha_max,alpha_mean,occupied_voxels,occupied_ratio,component_count,shell_voxels,shell_ratio_total,shell_ratio_occupied,grad_mag_mean,grad_mag_p95,dist_mean,dist_p50,dist_p90,dist_p99
3dfront_0045_00,0.05,156x160x111,2,3,1.0,0.08071185648441315,662926,0.2392750924000924,554,512168,0.18486082236082235,0.7725869855760673,0.06279809772968292,0.3501099988818168,5.592358589172363,3.1622776985168457,16.0,16.0
3dfront_0045_00,0.1,156x160x111,2,3,1.0,0.08071185648441315,538544,0.1943809193809194,684,445952,0.16096096096096096,0.8280697584598473,0.06279809772968292,0.3501099988818168,6.015896797180176,3.7416574954986572,16.0,16.0
3dfront_1014_00,0.01,129x160x114,2,113,1.0,0.12102983891963959,885971,0.3765346627226982,745,555162,0.2359419624643003,0.6266141894034907,0.09306846559047699,0.4317844644188874,3.948484420776367,1.7320507764816284,12.845232963562012,16.0
3dfront_1014_00,0.05,129x160x114,2,113,1.0,0.12102983891963959,767529,0.32619721542227664,862,565386,0.2402871277029784,0.7366314497562959,0.09306846559047699,0.4317844644188874,4.11923360824585,1.7320507764816284,13.34166431427002,16.0
3dfront_1014_00,0.1,129x160x114,2,4,1.0,0.12102983891963959,607566,0.25821348429212565,1465,497548,0.21145620835033319,0.818920084402353,0.09306846559047699,0.4317844644188874,4.53873872756958,2.2360680103302,14.456831932067871,16.0
3dfront_0040_00,0.01,160x127x111,2,3,1.0,0.07954108715057373,592770,0.2628085762928283,614,454259,0.20139879052280626,0.7663326416654014,0.06643537431955338,0.3764772534370422,4.800089359283447,2.4494898319244385,13.638181686401367,16.0
3dfront_0040_00,0.05,160x127x111,2,3,1.0,0.07954108715057373,528250,0.23420319926225439,587,433657,0.1922647549123927,0.820931377188831,0.06643537431955338,0.3764772534370422,5.059286594390869,3.0,14.282856941223145,16.0
3dfront_0040_00,0.1,160x127x111,2,3,1.0,0.07954108715057373,418317,0.18546366248137902,674,366269,0.16238783074412996,0.8755776121936235,0.06643537431955338,0.3764772534370422,5.593527317047119,3.316624879837036,15.81138801574707,16.0
3dfront_0044_01,0.01,141x160x109,2,3,1.0,0.09829477965831757,826113,0.3359493948858091,769,697817,0.28377618908191815,0.8446992118511633,0.0854601114988327,0.3864363431930541,3.2649950981140137,1.4142135381698608,10.344079971313477,16.0
3dfront_0044_01,0.05,141x160x109,2,3,1.0,0.09829477965831757,734416,0.29865963953412716,842,645647,0.2625605927516429,0.879129811986667,0.0854601114988327,0.3864363431930541,3.415916681289673,1.4142135381698608,10.72380542755127,16.0
3dfront_0044_01,0.1,141x160x109,2,3,1.0,0.09829477965831757,586335,0.2384406109701347,1368,531764,0.2162486173466068,0.9069286329487409,0.0854601114988327,0.3864363431930541,3.739058017730713,1.7320507764816284,11.224971771240234,16.0
3dfront_0025_00,0.01,106x160x90,2,82,1.0,0.09674976766109467,565614,0.3705542452830189,292,413363,0.2708090932914046,0.7308217264777745,0.0779411643743515,0.33660999834537514,2.8321144580841064,1.4142135381698608,8.602325439453125,16.0
3dfront_0025_00,0.05,106x160x90,2,82,1.0,0.09674976766109467,520459,0.3409715670859539,313,399418,0.2616732180293501,0.7674341302580991,0.0779411643743515,0.33660999834537514,2.915314197540283,1.4142135381698608,8.774964332580566,16.0
3dfront_0025_00,0.1,106x160x90,2,82,1.0,0.09674976766109467,407970,0.2672759433962264,481,339399,0.22235259433962265,0.8319214648135892,0.0779411643743515,0.33660999834537514,3.2467167377471924,1.4142135381698608,9.433980941772461,16.0
3dfront_0033_01,0.01,120x160x115,2,107,1.0,0.10593751072883606,797380,0.36113224637681157,575,372784,0.16883333333333334,0.4675110988487296,0.062448710203170776,0.3146825864911079,5.142922401428223,2.8284270763397217,16.0,16.0
